Time	Node	Interface	Type	Packets	Kilobytes	PacketsRaw	KilobytesRaw
33	3	combined	Drop	0	0	0	0
33	4	combined	Drop	0	0	0	0
34	0	combined	Drop	0	0	0	0
34	1	combined	Drop	0	0	0	0
34	2	combined	Drop	0	0	0	0
34	3	combined	Drop	0	0	0	0
34	4	combined	Drop	0	0	0	0
35	0	combined	Drop	0	0	0	0
35	1	combined	Drop	0	0	0	0
35	2	combined	Drop	0	0	0	0
35	3	combined	Drop	0	0	0	0
35	4	combined	Drop	0	0	0	0
36	0	combined	Drop	0	0	0	0
36	1	combined	Drop	0	0	0	0
36	2	combined	Drop	0	0	0	0
36	3	combined	Drop	0	0	0	0
36	4	combined	Drop	0	0	0	0
37	0	combined	Drop	0	0	0	0
37	1	combined	Drop	0	0	0	0
37	2	combined	Drop	0	0	0	0
37	3	combined	Drop	0	0	0	0
37	4	combined	Drop	0	0	0	0
38	0	combined	Drop	0	0	0	0
38	1	combined	Drop	0	0	0	0
38	2	combined	Drop	0	0	0	0
38	3	combined	Drop	0	0	0	0
38	4	combined	Drop	0	0	0	0
39	0	combined	Drop	0	0	0	0
39	1	combined	Drop	0	0	0	0
39	2	combined	Drop	0	0	0	0
39	3	combined	Drop	0	0	0	0
39	4	combined	Drop	0	0	0	0
40	0	combined	Drop	0	0	0	0
40	1	combined	Drop	0	0	0	0
40	2	combined	Drop	0	0	0	0
40	3	combined	Drop	0	0	0	0
40	4	combined	Drop	0	0	0	0
41	0	combined	Drop	0	0	0	0
41	1	combined	Drop	0	0	0	0
41	2	combined	Drop	0	0	0	0
41	3	combined	Drop	0	0	0	0
41	4	combined	Drop	0	0	0	0
42	0	combined	Drop	0	0	0	0
42	1	combined	Drop	0	0	0	0
42	2	combined	Drop	0	0	0	0
42	3	combined	Drop	0	0	0	0
42	4	combined	Drop	0	0	0	0
43	0	combined	Drop	0	0	0	0
43	1	combined	Drop	0	0	0	0
43	2	combined	Drop	0	0	0	0
43	3	combined	Drop	0	0	0	0
43	4	combined	Drop	0	0	0	0
44	0	combined	Drop	0	0	0	0
44	1	combined	Drop	0	0	0	0
44	2	combined	Drop	0	0	0	0
44	3	combined	Drop	0	0	0	0
44	4	combined	Drop	0	0	0	0
45	0	combined	Drop	0	0	0	0
45	1	combined	Drop	0	0	0	0
45	2	combined	Drop	0	0	0	0
45	3	combined	Drop	0	0	0	0
45	4	combined	Drop	0	0	0	0
46	0	combined	Drop	0	0	0	0
46	1	combined	Drop	0	0	0	0
46	2	combined	Drop	0	0	0	0
46	3	combined	Drop	0	0	0	0
46	4	combined	Drop	0	0	0	0
47	0	combined	Drop	0	0	0	0
47	1	combined	Drop	0	0	0	0
47	2	combined	Drop	0	0	0	0
47	3	combined	Drop	0	0	0	0
47	4	combined	Drop	0	0	0	0
48	0	combined	Drop	0	0	0	0
48	1	combined	Drop	0	0	0	0
48	2	combined	Drop	0	0	0	0
48	3	combined	Drop	0	0	0	0
48	4	combined	Drop	0	0	0	0
49	0	combined	Drop	0	0	0	0
49	1	combined	Drop	0	0	0	0
49	2	combined	Drop	0	0	0	0
49	3	combined	Drop	0	0	0	0
49	4	combined	Drop	0	0	0	0
